job_name,job_type,public_transport,job_address,date_applied,job_status
Kameleon,retail,biprostal,ul. Królewska,30-04-2026,waiting for contact
Papierniczy,retail,biprostal,ul. Królewska,30-04-2026,waiting for contact
Spadł mi,customer service,biprostal,ul. Królewska 90,30-04-2026,waiting for contact
Bar Królewski,food service,biprostal,ul. Królewska 88,30-04-2026,waiting for contact
waiting for contact,retail,biprostal,ul. Królewska 84,30-04-2026,waiting for contact
Placek Królewska Napoletana,food service,biprostal,ul. Królewska 84,30-04-2026,waiting for contact
Gałązka Bawełny,retail,urzędnicza,ul. Królewska 72,30-04-2026,waiting for contact
Fidrygałki,food service,urzędnicza,ul. Urzędnicza 47,30-04-2026,waiting for contact
Lewiatan,retail,urzędnicza,ul. Królewska 52,30-04-2026,waiting for contact
Cukiernia Śliwa,retail,plac inwalidów,ul. Królewska 8,30-04-2026,waiting for contact
Fornia,food service,biprostal,królewska,30-04-2026,waiting
a,a,add,a,a,a
